사번,이름,생년월일,부서,영어등급,일본어등급,중국어등급,급여,초과근무
18030201,임꺽정,1990-01-23,연구부,1,1,   ,"3,456",23:10:10
18030202,손오공,1992-10-11,마케팅,   ,2,,"4,320",10:15:17
19030401,전우치,1995-07-02,연구부,1,,,"5,600",16:21:10
19070101,홍길동,1990-11-23,연구부,,,3,"4,500",15:00:20
19070102,사오정,1993-02-01,마케팅,,,,"3,150",21:19:50
19070103,저팔계,1992-07-16,연구부,,,1,"4,200",14:10:40
19080101,김유신,1993-04-11,총무부,2,,,"4,800",9:50:30
19080102,강감찬,1991-12-07,영업부,1,1,1,"10,100",8:40:40
19090201,이순신,1992-06-16,영업부,3,1,2,"6,840",17:30:20
19090202,권율,1993-05-05,연구부,,3,1,"4,750",19:50:20
